,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
81,Lambada Baiana,Geraldão (2),Gel Continental,Brazil,1988,Latin,2,NM or M-,VG,99.8,130,258,49,36.14
82,Moscarada / O Risonho,Pepino Irritadiço,Epic,Brazil,1983,"Rock, Pop",2,VG+,VG+,99.8,11,5,5,13.47
83,Dream Into Action,Howard Jones,WEA,Brazil,1985,Electronic,11,VG+,VG+,99.8,1112,17837,1860,20.27
84,Dead Man's Party,Oingo Boingo,MCA Records,Brazil,1988,"Electronic, Rock",9,M,VG+,99.8,98,10715,6475,115.50
85,Hyldon,Hyldon,Esfinge,Brazil,1989,"Electronic, Jazz, Latin, Funk / Soul, Pop",10,M,VG+,99.8,,,,105.29
86,Mega House Mix,Various,MCM Records (2),Brazil,1990,Electronic,6,VG+,VG+,99.8,,,,58.82
87,Midnight Rocks,Al Stewart,RCA,Brazil,1980,Pop,2,NM or M-,VG+,99.8,81,128,25,54.28
88,Super Double Mix,Spray (9),Fermata,Brazil,1984,"Rock, Pop",4,VG+,VG,99.8,1,10,6,36.14
89,I Started A Joke,Big Tops,RCA,Brazil,1969,Pop,2,NM or M-,VG,99.8,320,2131,570,36.14
90,The Stars We Are,Marc Almond,Parlophone,Brazil,1989,Electronic,10,M,VG+,99.8,631,7613,1845,54.28
91,Blue Bell Knoll,Cocteau Twins,Stiletto,Brazil,1988,Electronic,10,M,VG+,99.8,393,17270,13270,105.29
92,Blah-Blah-Blah,Iggy Pop,A&M Records,Brazil,1987,Rock,10,M,VG+,99.8,653,18519,4275,81.49
93,"Transamérica FM 100,1 (New Kids On The Block, Mariah Carey, Chicago, Elton John, George Michael, Guns N' Roses, Jimmy Cliff, David Coverdale)",Various,Estúdio Transamérica,Brazil,1991,"Rock, Pop",8,VG+,,99.8,6,22,31,144.97
94,Born To Be Alive,Patrick Hernandez,Aquarius,Brazil,1979,"Electronic, Funk / Soul",2,VG+,VG+,99.8,2152,20262,9711,47.48
95,A Última Novidade,Banda 69,Epic,Brazil,1986,Rock,10,VG+,VG+,99.8,7,29,4,33.88
96,Crime Of The Century,Supertramp,A&M Records,Brazil,,Rock,8,VG+,VG,99.8,2580,101366,41598,65.62
97,Sweet Replies,Honey Cone,Top Tape,Brazil,Aug 1971,Funk / Soul,12,VG+,VG+,99.8,95,987,1159,100.76
98,Demons And Wizards,Uriah Heep,Lup Som,Brazil,1987,Rock,10,VG+,VG,99.8,324,5913,1236,65.62
99,Some Girls Wander By Mistake,The Sisters Of Mercy,Merciful Release,Brazil,1992,"Electronic, Rock",19,VG+,VG+,99.8,281,11091,3536,149.50
100,(Catch Me) I'm Falling,Pretty Poison,Virgin,US,1987,Electronic,2,NM or M-,,100.0,572,3730,3324,7.00
101,United Nations Of Sound,"RPA* & 

The United Nations Of Sound",Parlophone,Europe,19 Jul 2010,Rock,12,VG+,VG+,100.0,125,1117,219,19.00
102,A Dynamic High-Fidelity Full Band Concert Of Marches,John Philip Sousa,Somerset,US,,Brass & Military,10,M,M,100.0,13,117,3,5.00
103,Greatest Original Hits - 4 Track E.P.,The Psychedelic Furs,CBS,UK,1982,"Rock, Pop",4,NM or M-,VG+,99.9,,,,14.93
104,Issues,Korn,Epic,US,02 Nov 2018,Rock,16,M,M,99.8,,,,41.99
105,Singles Collection 2017-2020,Wallows,Atlantic,Worldwide,23 Apr 2022,Rock,10,NM or M-,NM or M-,100.0,66,4598,629,23.99
106,Live On Red Barn Radio I & II,Tyler Childers,Hickman Holler Records,US,2018,"Folk, World, & Country",8,NM or M-,NM or M-,100.0,62,6254,919,19.99
107,The Velvet Underground & Nico,"The Velvet Underground & 

Nico (3)",Verve Records,Europe,2019,Rock,11,NM or M-,NM or M-,100.0,,,,34.99
108,Big Band Bossa Nova,Stan Getz,WaxTime In Color,Europe,2019,"Jazz, Latin",9,NM or M-,NM or M-,100.0,539,6853,6160,23.99
109,Historic Meeting,"John Coltrane And 

Thelonious Monk",Jazz Wax Records,Spain,2019,Jazz,7,NM or M-,NM or M-,100.0,27,203,89,17.99
110,This Was,Jethro Tull,Reprise Records,US,1970,Rock,10,M,NM or M-,97.6,1848,28700,16842,9.99
111,Pocono Friends,"John Coates, Jr",Omni Sound Jazz,US,1981,Jazz,18,VG+,VG+,99.9,20,45,10,6.00
112,In Search Of The Lost Chord,The Moody Blues,Deram,US,,Rock,12,NM or M-,VG,88.8,1979,36142,11438,55.00
113,In A World Full Of Fright / 50 BC Man,Guided Tour,Sound 80,US,1970,Rock,2,VG,,99.9,2,8,19,20.00
114,Be Near Me,ABC,Mercury,US,1985,Electronic,2,NM or M-,,100.0,518,4241,976,7.00
115,Good Mourning,Alkaline Trio,Vagrant Records,US,09 Jun 2023,Rock,14,M,NM or M-,100.0,91,5248,5011,38.00
116,Mind Trip,Hot Toddy,Winding Road Records,UK,20 May 2004,"Electronic, Funk / Soul",4,VG+,,100.0,,,,19.99
117,A Catholic Education,Teenage Fanclub,Fire Records,UK,2010,Rock,11,M,VG+,99.8,85,4126,2328,45.00
118,Stan Getz & Bill Evans,"Stan Getz, 

Bill Evans",Verve Records,Europe,2019,Jazz,6,M,M,100.0,,,,24.98
