,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
5008,Play That Beat Mr. D.J.,G.L.O.B.E. & Whiz Kid,Tommy Boy,US,,Hip Hop,3,VG+,NM or M-,99.8,251,2927,3096,8.99
5009,Life Is Life,Mr. Cisco,Klakson,Netherlands,Mar 2005,Electronic,3,VG+,,99.8,,,,8.99
5010,Show Me A Sign,Zahra,Mix2inside Records,Italy,24 Oct 2002,Electronic,4,VG+,,99.8,43,571,227,8.99
5011,3 A.M. Eternal (Live At The S.S.L.),"The KLF Featuring 

The Children Of The Revolution",KLF Communications,UK,07 Jan 1991,Electronic,2,VG+,VG+,99.8,97,2993,407,4.99
5012,Introduce My Love,USG*,Clairaudience,US,1998,Electronic,2,VG+,,99.8,34,312,341,8.99
5013,"""Master Plan"" EP",Angel Alanis,Catalyst Recordings,US,10 Nov 2000,Electronic,2,VG+,VG+,99.8,42,365,108,4.99
5014,imaginations EP,Fantastic Plastic Machine,L'Appareil-Photo Bis,Japan,20 Apr 2006,Electronic,4,VG+,VG+,99.8,5,22,15,8.99
5015,Cartoon Clip,Secret Cinema,SC Records (2),Netherlands,2001,Electronic,3,VG+,VG+,99.8,17,612,249,8.99
5016,Triple Journey,Plus (14),Oblong Records,UK,1997,Electronic,2,VG+,,99.8,20,271,451,8.99
5017,Waitin For The Sirens Call / Crazy Cursor,"New Order / 

Tocadisco",Not On Label (New Order),,2006,Electronic,2,VG+,,99.8,6,15,6,14.99
5018,In The Dark We Live (Thee Lite) (Remixes),Aphrohead,Emotive Records,US,1994,Electronic,6,VG+,VG+,99.8,61,446,279,10.99
5019,Stairway To Headphones,"Wink* & 

ESP*",Head In The Clouds,US,1995,Electronic,2,VG+,,99.8,32,561,358,8.99
5020,Crue 4,Crue,Crue,Netherlands,Apr 2016,Electronic,2,VG+,VG,99.8,19,405,473,6.99
5021,Move Out Of Babylon Rastaman / A Moving Version,Johnnie Clarke*,Attack,Jamaica,,Reggae,2,VG,,99.8,139,677,1088,8.99
5022,Provocative Percussion,Narcotic Syntax,Wir,Germany,16 Oct 2006,Electronic,4,VG+,VG+,99.8,,,,8.99
5023,House Fucker,DJ One-Finger*,Missile Records,UK,1999,Electronic,2,NM or M-,NM or M-,99.8,261,2695,1291,8.99
5024,Jazz Room (Remix),Paul Murphy & Marc Woolford Project,Afro Art,UK,May 2004,"Electronic, Jazz, Latin",2,VG+,VG+,99.8,30,542,185,8.99
5025,Award Tour,A Tribe Called Quest,Jive,Europe,1993,Hip Hop,4,VG,VG,99.8,151,3024,2165,6.99
5026,Dark Science E.P.,Tilt,Hooj Choons,UK,31 Jan 2000,Electronic,2,NM or M-,VG+,99.8,105,2266,792,8.99
5027,Hydra,Toto,Columbia,US,1979,Rock,8,NM or M-,VG+,99.8,1317,20884,4343,8.99
5028,LP Sampler 2,"Dan Curtin / 

The Cause",Fragmented Records,UK,1998,Electronic,2,VG+,,99.8,21,228,369,8.99
5029,Opaque / Zoom,Damon Wild,Synewave UK,UK,1999,Electronic,3,VG+,,99.8,20,555,269,8.99
5030,Get Involved / What I Am,"Raphael Saadiq & 

Q-Tip / 

Sy Smith",Hollywood Records,US,1999,"Hip Hop, Funk / Soul",4,NM or M-,,99.8,73,534,212,8.99
5031,Parc 1,Daze Maxim,Jakpot,Germany,1996,Electronic,4,VG+,,99.8,12,279,187,8.99
5032,Swing = スウィング,"Hi-Fi Set = 

ハイ・ファイ・セット*",Express,Japan,05 Jun 1978,"Jazz, Funk / Soul, Pop",10,VG+,NM or M-,99.8,83,113,40,8.99
5033,Check Tha Flava / Nights Of Fear,AK Skills,Tru Criminal Records,US,1996,Hip Hop,8,VG,,99.8,11,144,186,8.99
5034,Bus Stops (Where The Honeys Is At...) / Who Falls Apart?,The Nonce,Wild West Records,US,1995,Hip Hop,8,NM or M-,VG+,99.8,21,510,156,8.99
5035,Don't Take It Personal (Just One Of Dem Days),Monica,Rowdy Records,US,1995,Hip Hop,4,VG+,NM or M-,99.8,252,1377,836,8.99
5036,Femmes Fatales,Saint Tropez,Rams Horn Records,Netherlands,1987,Electronic,4,VG+,VG+,99.8,114,442,610,8.99
5037,Metro,Joey Beltram,Tresor,Germany,01 May 1996,Electronic,3,VG+,VG+,99.8,,,,8.99
5038,Loops,Various,Serotonin,US,Apr 1996,Electronic,68,VG+,,99.8,,,,8.99
5039,Nutcrusch,"Adam Beyer & 

Thomas Krome",Drumcode,Sweden,1997,Electronic,4,VG+,,99.8,33,1355,474,8.99
5040,Destination Morocco,The Modwheel*,Heard Records,UK,17 Mar 1997,Electronic,2,NM or M-,NM or M-,99.8,36,655,320,8.99
5041,Follow Me,Aly Us*,Strictly Rhythm,France,2002,Electronic,5,VG+,VG+,99.8,384,7293,11854,8.99
5042,Unpretty,TLC,LaFace Records,US,1999,"Electronic, Funk / Soul",5,VG+,VG+,99.8,543,2617,1049,6.99
5043,Maniac,DJ Rush,Djax-Up-Beats,Netherlands,1997,Electronic,4,VG+,NM or M-,99.8,690,8557,5081,8.99
5044,The Brighter Days E.P.,Big Moses,BPM King Street Sounds,US,1996,Electronic,4,M,,99.8,53,485,296,8.99
5045,Tantric EP,Thee J Johanz,Ballyhoo,Netherlands,02 Jun 2017,Electronic,3,VG+,VG+,99.8,14,58,131,8.99
5046,Terra Firma,Blue Maxx,Synewave,US,1997,Electronic,3,VG+,,99.8,181,2505,633,8.99
5047,The Ultimate Lessons 3,Various,Starchild Recordings,UK,2003,"Electronic, Hip Hop",11,VG+,VG+,99.8,24,990,271,8.99
5048,Believer,JB³,NovaMute,UK,03 Jun 1996,Electronic,3,VG+,NM or M-,99.8,,,,8.99
5049,Shade EP,Sven Weisemann,Meanwhile,UK,08 Jun 2007,Electronic,2,VG+,VG+,99.8,,,,8.99
5050,Something Always Happens / Camilla The Old Old Story,Art Of Noise*,Indochina,UK,1996,Electronic,2,VG,,99.8,9,364,179,4.99
5051,Stay Together,Barbara Tucker,Strictly Rhythm,US,1995,Electronic,3,VG+,NM or M-,99.8,497,20132,35656,8.99
5052,Scoop,大沢誉志幸*,Epic,Japan,1984,"Rock, Funk / Soul, Pop",10,VG+,G+,99.8,,,,8.99
5053,Where Love Lives,Alison Limerick,Arista,US,1991,Electronic,2,NM or M-,,99.8,569,8492,9529,8.99
5054,Frequency,Slyde,Finger Lickin' Records,UK,Aug 2008,Electronic,2,VG+,,99.8,,,,18.99
5055,Phantom,Justice (3),Ed Banger Records,France,2007,Electronic,2,VG+,,99.8,,,,8.99
5056,Havana,Samuel L Session,Monoïd,Germany,2001,Electronic,4,VG+,VG+,99.8,,,,6.99
5057,Cooltempo Remixed,Various,Cooltempo,UK,25 Sep 1995,Electronic,10,NM or M-,VG+,99.8,96,499,200,6.99
5058,Mahogany Roots,Hardfloor,Harthouse,UK & Europe,29 May 1995,Electronic,6,VG+,VG+,99.8,189,1940,1012,8.99
5059,Application Of Language,Regis,Downwards,UK,1996,Electronic,4,VG+,NM or M-,99.8,37,996,834,11.99
5060,3 A.M. Eternal (The Moody Boys Selection),The KLF,KLF Communications,UK,1991,Electronic,3,VG+,VG+,99.8,35,1104,362,8.99
5061,Application Of Language,Regis,Downwards,UK,1996,Electronic,4,VG+,VG+,99.8,37,996,834,14.99
5062,U Like This (Megamix),Mariah Carey,Columbia,US,2003,Electronic,2,VG+,,99.8,24,278,224,4.99
5063,Freaky,Lou²,Strictly Rhythm,US,1995,Electronic,3,VG+,VG,99.8,,,,6.99
5064,Auf Und Ab... Remixed,Chris Liebing,CLR (2),Germany,Jun 2010,Electronic,2,VG+,NM or M-,99.8,8,139,68,8.99
5065,Sympathy For The Devil (Remix),The Rolling Stones,Virgin,UK,Sep 2003,"Electronic, Rock",3,VG+,VG+,99.8,352,3962,1104,11.99
5066,Dirty Larry,Dimitri From Paris,Yellow Productions,France,1996,Electronic,4,VG+,VG+,99.8,93,1113,489,6.99
5067,It's Alright (I Feel It) / Runaway,Nuyorican Soul,Blue Thumb Records,US,1997,Electronic,2,VG+,,99.8,55,612,242,8.99
5068,3 A.M. Eternal (Pure Trance 2),The KLF,KLF Communications,UK,May 1989,Electronic,2,VG+,VG+,99.8,995,20100,12905,18.99
5069,King Samuel / Jordon River,"Justin Hinds & The Dominoes, 

Drumbago & 

Baba Brooks",Treasure Isle,Jamaica,1964,Reggae,2,G,,99.8,7,35,51,8.99
5070,Nappy Heads,Fugees (Tranzlator Crew)*,Ruffhouse Records,US,1994,Hip Hop,6,VG+,VG+,99.8,72,1772,770,8.99
5071,Industrial,"Manu Kenton vs. 

DJ HS",Virtual,Belgium,May 2004,Electronic,3,VG+,VG+,99.8,12,514,881,4.99
5072,"Cocoon Morphs Tokyo - 50th 12"" Release Part III","Väth* vs. 

Rother* / 

Ricardo Villalobos",Cocoon Recordings,Germany,28 Aug 2008,Electronic,2,VG+,VG+,99.8,28,455,203,6.99
5073,Play That Beat Mr. D.J.,G.L.O.B.E. & Whiz Kid,Tommy Boy,US,,Hip Hop,3,VG+,NM or M-,99.8,251,2927,3096,8.99
5074,Life Is Life,Mr. Cisco,Klakson,Netherlands,Mar 2005,Electronic,3,VG+,,99.8,,,,8.99
5075,Show Me A Sign,Zahra,Mix2inside Records,Italy,24 Oct 2002,Electronic,4,VG+,,99.8,43,571,227,8.99
5076,3 A.M. Eternal (Live At The S.S.L.),"The KLF Featuring 

The Children Of The Revolution",KLF Communications,UK,07 Jan 1991,Electronic,2,VG+,VG+,99.8,97,2993,407,4.99
5077,"""Master Plan"" EP",Angel Alanis,Catalyst Recordings,US,10 Nov 2000,Electronic,2,VG+,VG+,99.8,42,365,108,4.99
5078,imaginations EP,Fantastic Plastic Machine,L'Appareil-Photo Bis,Japan,20 Apr 2006,Electronic,4,VG+,VG+,99.8,5,22,15,8.99
5079,Introduce My Love,USG*,Clairaudience,US,1998,Electronic,2,VG+,,99.8,34,312,341,8.99
5080,Cartoon Clip,Secret Cinema,SC Records (2),Netherlands,2001,Electronic,3,VG+,VG+,99.8,17,612,249,8.99
5081,Triple Journey,Plus (14),Oblong Records,UK,1997,Electronic,2,VG+,,99.8,20,271,451,8.99
5082,Waitin For The Sirens Call / Crazy Cursor,"New Order / 

Tocadisco",Not On Label (New Order),,2006,Electronic,2,VG+,,99.8,6,15,6,14.99
5083,In The Dark We Live (Thee Lite) (Remixes),Aphrohead,Emotive Records,US,1994,Electronic,6,VG+,VG+,99.8,61,446,279,10.99
5084,Stairway To Headphones,"Wink* & 

ESP*",Head In The Clouds,US,1995,Electronic,2,VG+,,99.8,32,561,358,8.99
5085,Crue 4,Crue,Crue,Netherlands,Apr 2016,Electronic,2,VG+,VG,99.8,19,405,473,6.99
5086,Move Out Of Babylon Rastaman / A Moving Version,Johnnie Clarke*,Attack,Jamaica,,Reggae,2,VG,,99.8,139,677,1088,8.99
5087,House Fucker,DJ One-Finger*,Missile Records,UK,1999,Electronic,2,NM or M-,NM or M-,99.8,261,2695,1291,8.99
5088,Provocative Percussion,Narcotic Syntax,Wir,Germany,16 Oct 2006,Electronic,4,VG+,VG+,99.8,,,,8.99
5089,Jazz Room (Remix),Paul Murphy & Marc Woolford Project,Afro Art,UK,May 2004,"Electronic, Jazz, Latin",2,VG+,VG+,99.8,30,542,185,8.99
5090,Award Tour,A Tribe Called Quest,Jive,Europe,1993,Hip Hop,4,VG,VG,99.8,151,3024,2165,6.99
5091,Dark Science E.P.,Tilt,Hooj Choons,UK,31 Jan 2000,Electronic,2,NM or M-,VG+,99.8,105,2266,792,8.99
5092,Hydra,Toto,Columbia,US,1979,Rock,8,NM or M-,VG+,99.8,1317,20884,4343,8.99
5093,LP Sampler 2,"Dan Curtin / 

The Cause",Fragmented Records,UK,1998,Electronic,2,VG+,,99.8,21,228,369,8.99
5094,Opaque / Zoom,Damon Wild,Synewave UK,UK,1999,Electronic,3,VG+,,99.8,20,555,269,8.99
5095,Get Involved / What I Am,"Raphael Saadiq & 

Q-Tip / 

Sy Smith",Hollywood Records,US,1999,"Hip Hop, Funk / Soul",4,NM or M-,,99.8,73,534,212,8.99
5096,Parc 1,Daze Maxim,Jakpot,Germany,1996,Electronic,4,VG+,,99.8,12,279,187,8.99
5097,Swing = スウィング,"Hi-Fi Set = 

ハイ・ファイ・セット*",Express,Japan,05 Jun 1978,"Jazz, Funk / Soul, Pop",10,VG+,NM or M-,99.8,83,113,40,8.99
5098,Check Tha Flava / Nights Of Fear,AK Skills,Tru Criminal Records,US,1996,Hip Hop,8,VG,,99.8,11,144,186,8.99
5099,Bus Stops (Where The Honeys Is At...) / Who Falls Apart?,The Nonce,Wild West Records,US,1995,Hip Hop,8,NM or M-,VG+,99.8,21,510,156,8.99
5100,Do They Know It's Christmas?,Band Aid,Phonogram,Japan,1984,"Electronic, Pop",3,NM or M-,NM or M-,99.8,3165,34394,3546,4.99
5101,Goin' Crazy / Hello Herbie,"Heatwave / 

Alex Band (2)",Disco Deviance,UK,29 Sep 2008,"Electronic, Funk / Soul",2,VG+,,99.8,19,265,131,18.99
5102,The Search (Remixes),Trancesetters,Touché,Netherlands,1996,Electronic,3,VG+,VG+,99.8,32,537,222,4.99
5103,Past & Present,Devilfish,Bush,UK,2000,Electronic,2,VG+,,99.8,,,,11.99
5104,Garage Classics Volume 8,Various,Garage Classics,US,,Funk / Soul,3,VG+,VG+,99.8,9,126,113,8.99
5105,Coatnoise,Midfield General,Skint,UK,2000,Electronic,3,VG+,VG+,99.8,38,1218,341,4.99
5106,A Love Supreme = 至上の愛,"John Coltrane = 

ジョン・コルトレーン*",Impulse!,Japan,Jun 1976,Jazz,5,VG+,VG+,99.8,54,139,311,28.99
5107,The Unreleased Project Part III,Todd Terry,TNT Records,US,1993,Electronic,5,VG+,,99.8,83,826,486,4.99
5108,Party Chat Remix,Greg Cash,PK,UK,2000,Electronic,2,VG+,,99.8,32,275,234,4.99
5109,Get Back To The Underground,Nite System,Nitelist Music,Japan,2003,Electronic,3,VG+,VG+,99.8,6,13,57,14.99
5110,Spinal Scratch,Thomas Bangalter,Roulé,France,1996,Electronic,2,VG+,VG+,99.8,93,4868,3556,34.99
5111,Jimmy's Techniq,Cari Lekebusch & Alexi Delano*,Jericho,UK,1998,Electronic,3,VG+,VG,99.8,36,657,213,4.99
5112,Call Me,Deee-Lite,Elektra,US,1994,Electronic,6,VG+,VG+,99.8,1105,16779,10639,8.99
5113,Hotter Than July,Stevie Wonder,Motown,Japan,1980,Funk / Soul,10,VG+,VG+,99.8,2050,58095,21293,18.99
5114,Transit Part 1,Justin Berkovi,Music Man Records,Belgium,16 May 2001,Electronic,8,VG+,VG+,99.8,9,215,103,8.99
5115,Flower,Soul Dhamma,Velocity Recordings (2),US,1999,Electronic,4,VG+,NM or M-,99.8,,,,8.99
5116,Plastic Dreams Remixes,Jaydee,Mantra Vibes,Italy,2004,Electronic,2,VG,,99.8,9,224,461,4.99
5117,Pearl's Girl,Underworld,Wax Trax! Records,US,1997,Electronic,2,NM or M-,VG+,99.8,599,7844,2286,8.99
5118,Timing,Guy Gerber,Cocoon Recordings,Germany,21 Jan 2009,Electronic,2,VG+,VG+,99.8,,,,44.99
5119,"The Todd Terry Unreleased Project, Part 4",Todd Terry,TNT Records,US,1993,Electronic,5,VG+,,99.8,71,1419,1082,8.99
5120,Red Line EP,DJ 3000,Motech,US,2003,Electronic,3,VG+,,99.8,3,104,191,4.99
5121,What's Going On 2003,Marvin Gaye,Not On Label,US,2003,Hip Hop,4,VG+,,99.8,6,72,67,8.99
5122,Tomorr w,Jeff Mills,Axis,US,14 Jul 1997,Electronic,3,VG+,,99.8,53,2573,1051,14.99
5123,Dark & Long 1,Underworld,Junior Boy's Own,UK,Jun 1994,Electronic,2,VG+,VG+,99.8,,,,34.99
5124,"Phat, Single & Ready To Mingle","Ignition Technician Presents 

Wilko",Ignition Records,UK,23 Dec 2003,Electronic,3,VG+,,99.8,4,116,76,8.99
5125,Every Way But Loose (Remix),"Plunky* & 

Oneness Of Juju",Unidisc,USA & Canada,,"Electronic, Funk / Soul",3,NM or M-,VG+,99.8,13,200,346,14.99
5126,Last Train To Trancentral (Live From The Lost Continent),The KLF,KLF Communications,UK,22 Apr 1991,Electronic,2,VG+,VG+,99.8,61,2235,390,8.99
5127,A Pain That I'm Used To,Depeche Mode,Mute,UK & Europe,19 Dec 2005,Electronic,2,VG+,VG+,99.8,235,9695,3250,24.99
5128,Justified & Ancient,The KLF,KLF Communications,UK,25 Nov 1991,Electronic,4,VG+,VG+,99.8,945,12150,6374,11.99
5129,Destination,Damn Arms,Bang Gang 12 Inches,Australia,2008,Electronic,2,VG+,VG+,99.8,,,,8.99
5130,Magic Carpet Ride 07',Mighty Dub Katz,Southern Fried Records,UK,May 2007,Electronic,4,VG+,VG+,99.8,13,285,177,4.99
5131,Kiss The Sky EP,"Shawn Lee's Ping Pong Orchestra vs 

Nino Moschella",Ubiquity,US,2006,Funk / Soul,5,VG+,VG+,99.8,11,173,185,8.99
5132,Shreds / Flame Tree,"Geiom & 

Appleblim",Berkane Sol,UK,Mar 2009,Electronic,2,VG+,,99.8,13,326,339,8.99
5133,AST,Art Science Technology,Debut,UK,1990,Electronic,3,VG+,NM or M-,99.8,40,665,651,8.99
5134,Enter Into His Gates With Praise / This A The Hardest Version,"Johnnie Clarke* / 

King Tubbys* & 

The Aggrovators",Attack,Jamaica,1974,Reggae,2,G,,99.8,60,481,839,8.99
5135,Something Always Happens / Camilla The Old Old Story,Art Of Noise*,Indochina,UK,1996,Electronic,2,VG,,99.8,9,364,179,4.99
5136,Stay Together,Barbara Tucker,Strictly Rhythm,US,1995,Electronic,3,VG+,NM or M-,99.8,497,20132,35656,8.99
5137,Scoop,大沢誉志幸*,Epic,Japan,1984,"Rock, Funk / Soul, Pop",10,VG+,G+,99.8,,,,8.99
5138,Where Love Lives,Alison Limerick,Arista,US,1991,Electronic,2,NM or M-,,99.8,569,8492,9529,8.99
5139,Frequency,Slyde,Finger Lickin' Records,UK,Aug 2008,Electronic,2,VG+,,99.8,,,,18.99
5140,Phantom,Justice (3),Ed Banger Records,France,2007,Electronic,2,VG+,,99.8,,,,8.99
5141,Havana,Samuel L Session,Monoïd,Germany,2001,Electronic,4,VG+,VG+,99.8,,,,6.99
5142,3 A.M. Eternal (The Moody Boys Selection),The KLF,KLF Communications,UK,1991,Electronic,3,VG+,VG+,99.8,35,1104,362,8.99
5143,Application Of Language,Regis,Downwards,UK,1996,Electronic,4,VG+,NM or M-,99.8,37,996,834,11.99
5144,Cooltempo Remixed,Various,Cooltempo,UK,25 Sep 1995,Electronic,10,NM or M-,VG+,99.8,96,499,200,6.99
5145,Mahogany Roots,Hardfloor,Harthouse,UK & Europe,29 May 1995,Electronic,6,VG+,VG+,99.8,189,1940,1012,8.99
5146,Application Of Language,Regis,Downwards,UK,1996,Electronic,4,VG+,VG+,99.8,37,996,834,14.99
5147,U Like This (Megamix),Mariah Carey,Columbia,US,2003,Electronic,2,VG+,,99.8,24,278,224,4.99
5148,Freaky,Lou²,Strictly Rhythm,US,1995,Electronic,3,VG+,VG,99.8,,,,6.99
5149,Auf Und Ab... Remixed,Chris Liebing,CLR (2),Germany,Jun 2010,Electronic,2,VG+,NM or M-,99.8,8,139,68,8.99
5150,97003,Alphabetics,Bantam,Austria,1997,Electronic,2,VG+,,99.8,6,41,73,3.99
5151,Dancing,Blaze,Not On Label (Blaze),Japan,2005,Electronic,4,VG+,,99.8,,,,14.99
5152,Pixie Girls,Various,Warner-Pioneer Corporation,Japan,1985,"Rock, Pop",16,VG+,VG+,99.8,16,23,6,10.99
5153,What You Need,Tiga,Different,Europe,18 May 2009,Electronic,3,VG+,VG+,99.8,,,,4.99
5154,We Take Mystery (To Bed) (Extended Version),Gary Numan,Beggars Banquet,UK,04 Jun 1982,Electronic,3,VG+,VG+,99.8,70,724,65,4.99
5155,Hank Mobley With Donald Byrd And Lee Morgan,"Hank Mobley With 

Donald Byrd And 

Lee Morgan",Blue Note,Japan,1977,Jazz,4,VG+,VG+,99.8,53,782,2188,128.99
5156,I Wonna Go Bang,Mark Ambrose,Crayon,UK,1999,Electronic,3,VG+,VG+,99.8,12,250,337,11.99
5157,Showroom Dummies,Kraftwerk,EMI,UK,Feb 1982,Electronic,3,VG+,VG+,99.8,22,1375,1614,11.99
5158,B Stiff = ビー・スティッフ,"Devo = 

ディーヴォ*",Stiff Records,Japan,1979,"Electronic, Rock",6,NM or M-,VG+,99.8,15,218,144,28.99
5159,We Don't Care,Audio Bullys,Astralwerks,US,2003,Electronic,4,VG+,,99.8,230,1642,623,3.99
5160,The Power Of Love,Frankie Goes To Hollywood,ZTT,UK,19 Nov 1984,"Electronic, Non-Music, Pop",6,VG+,VG+,99.8,1287,22361,4635,8.99
5161,Never EP,Life,Cosmic ID,UK,2001,Electronic,4,VG+,,99.8,20,582,204,8.99
5162,"Boy, I'll House Ya",2 Static,BCM Records,"Germany, Austria, & Switzerland",1990,Electronic,3,VG+,VG+,99.8,121,774,529,4.99
5163,Bedrock Breaks: Compiled And Unmixed (Part 01),DJ Hyper,Bedrock Records,UK,12 Jan 2002,Electronic,8,VG+,VG+,99.8,24,1064,635,8.99
5164,Tainted Schall,"Elektrochemie LK Meets 

Soft Cell",Not On Label (Elektrochemie LK),UK,05 May 2004,Electronic,1,VG+,VG+,99.8,44,882,405,11.99
5165,Come As You Are / Pistol Whipped,"Freddy Filter ,Vs 

Nirvana, 

Sex Pistols",Masterstroke,UK,2005,Electronic,2,VG+,,99.8,15,131,40,4.99
5166,Moskow Reise,"The Hacker / 

Millimetric, 

David Carretta",GoodLife,France,Dec 2003,Electronic,3,VG+,VG,99.8,38,1101,907,24.99
5167,Crash,The Human League,Virgin,Japan,1986,"Electronic, Pop",10,NM or M-,VG+,99.8,366,15559,4378,18.99
5168,Spinal Scratch,Thomas Bangalter,Roulé,France,1996,Electronic,2,VG+,VG+,99.8,93,4868,3556,28.99
5169,Jazz Room,Paul Murphy & Marc Woolford Project,Afro Art,UK,2001,Electronic,2,VG+,VG+,99.8,74,848,331,4.99
5170,Deep Sea Skiving,Bananarama,London Records,US,1983,Rock,10,VG+,VG+,99.8,539,6589,1871,8.99
5171,Private Eyes,"Daryl Hall, John Oates*",RCA,US,1981,"Electronic, Rock, Funk / Soul",13,VG+,VG+,99.8,701,26729,8995,8.99
5172,Briefcase Full Of Blues,The Blues Brothers,Atlantic,Japan,1978,Blues,12,VG+,VG,99.8,1021,41755,6336,11.99
5173,The Official Secrets Act,M (2),MCA Records,Japan,1980,"Electronic, Pop",10,VG+,VG+,99.8,288,1366,558,11.99
5174,AutoAmerican,Blondie,Chrysalis,Japan,1980,"Electronic, Rock",15,VG+,VG+,99.8,53,2912,190,24.99
5175,Daily Dose EP,Idjut Boys,Bear Funk,UK,Jul 2004,Electronic,3,VG+,VG+,99.8,33,267,95,4.99
5176,Flavor Freaks EP,Wee-Kids,Level 75,France,Feb 2006,Electronic,2,VG+,VG+,99.8,13,83,62,4.99
5177,Do They Know It's Christmas?,Band Aid,Phonogram,Japan,1984,"Electronic, Pop",3,NM or M-,NM or M-,99.8,3165,34394,3546,4.99
5178,Goin' Crazy / Hello Herbie,"Heatwave / 

Alex Band (2)",Disco Deviance,UK,29 Sep 2008,"Electronic, Funk / Soul",2,VG+,,99.8,19,265,131,18.99
5179,The Search (Remixes),Trancesetters,Touché,Netherlands,1996,Electronic,3,VG+,VG+,99.8,32,537,222,4.99
5180,Past & Present,Devilfish,Bush,UK,2000,Electronic,2,VG+,,99.8,,,,11.99
5181,Garage Classics Volume 8,Various,Garage Classics,US,,Funk / Soul,3,VG+,VG+,99.8,9,126,113,8.99
5182,Coatnoise,Midfield General,Skint,UK,2000,Electronic,3,VG+,VG+,99.8,38,1218,341,4.99
5183,A Love Supreme = 至上の愛,"John Coltrane = 

ジョン・コルトレーン*",Impulse!,Japan,Jun 1976,Jazz,5,VG+,VG+,99.8,54,139,311,28.99
5184,The Unreleased Project Part III,Todd Terry,TNT Records,US,1993,Electronic,5,VG+,,99.8,83,826,486,4.99
5185,Party Chat Remix,Greg Cash,PK,UK,2000,Electronic,2,VG+,,99.8,32,275,234,4.99
5186,Get Back To The Underground,Nite System,Nitelist Music,Japan,2003,Electronic,3,VG+,VG+,99.8,6,13,57,14.99
5187,Spinal Scratch,Thomas Bangalter,Roulé,France,1996,Electronic,2,VG+,VG+,99.8,93,4868,3556,34.99
5188,Jimmy's Techniq,Cari Lekebusch & Alexi Delano*,Jericho,UK,1998,Electronic,3,VG+,VG,99.8,36,657,213,4.99
5189,Call Me,Deee-Lite,Elektra,US,1994,Electronic,6,VG+,VG+,99.8,1105,16779,10639,8.99
5190,Hotter Than July,Stevie Wonder,Motown,Japan,1980,Funk / Soul,10,VG+,VG+,99.8,2050,58095,21293,18.99
5191,Transit Part 1,Justin Berkovi,Music Man Records,Belgium,16 May 2001,Electronic,8,VG+,VG+,99.8,9,215,103,8.99
5192,Flower,Soul Dhamma,Velocity Recordings (2),US,1999,Electronic,4,VG+,NM or M-,99.8,,,,8.99
5193,Plastic Dreams Remixes,Jaydee,Mantra Vibes,Italy,2004,Electronic,2,VG,,99.8,9,224,461,4.99
5194,Pearl's Girl,Underworld,Wax Trax! Records,US,1997,Electronic,2,NM or M-,VG+,99.8,599,7844,2286,8.99
5195,Timing,Guy Gerber,Cocoon Recordings,Germany,21 Jan 2009,Electronic,2,VG+,VG+,99.8,,,,44.99
5196,"The Todd Terry Unreleased Project, Part 4",Todd Terry,TNT Records,US,1993,Electronic,5,VG+,,99.8,71,1419,1082,8.99
5197,Red Line EP,DJ 3000,Motech,US,2003,Electronic,3,VG+,,99.8,3,104,191,4.99
5198,What's Going On 2003,Marvin Gaye,Not On Label,US,2003,Hip Hop,4,VG+,,99.8,6,72,67,8.99
5199,Tomorr w,Jeff Mills,Axis,US,14 Jul 1997,Electronic,3,VG+,,99.8,53,2573,1051,14.99
5200,I Wonna Go Bang,Mark Ambrose,Crayon,UK,1999,Electronic,3,VG+,VG+,99.8,12,250,337,11.99
5201,Showroom Dummies,Kraftwerk,EMI,UK,Feb 1982,Electronic,3,VG+,VG+,99.8,22,1375,1614,11.99
5202,B Stiff = ビー・スティッフ,"Devo = 

ディーヴォ*",Stiff Records,Japan,1979,"Electronic, Rock",6,NM or M-,VG+,99.8,15,218,144,28.99
5203,We Don't Care,Audio Bullys,Astralwerks,US,2003,Electronic,4,VG+,,99.8,230,1642,623,3.99
5204,The Power Of Love,Frankie Goes To Hollywood,ZTT,UK,19 Nov 1984,"Electronic, Non-Music, Pop",6,VG+,VG+,99.8,1287,22361,4635,8.99
5205,Never EP,Life,Cosmic ID,UK,2001,Electronic,4,VG+,,99.8,20,582,204,8.99
5206,"Boy, I'll House Ya",2 Static,BCM Records,"Germany, Austria, & Switzerland",1990,Electronic,3,VG+,VG+,99.8,121,774,529,4.99
5207,Bedrock Breaks: Compiled And Unmixed (Part 01),DJ Hyper,Bedrock Records,UK,12 Jan 2002,Electronic,8,VG+,VG+,99.8,24,1064,635,8.99
5208,Tainted Schall,"Elektrochemie LK Meets 

Soft Cell",Not On Label (Elektrochemie LK),UK,05 May 2004,Electronic,1,VG+,VG+,99.8,44,882,405,11.99
5209,Come As You Are / Pistol Whipped,"Freddy Filter ,Vs 

Nirvana, 

Sex Pistols",Masterstroke,UK,2005,Electronic,2,VG+,,99.8,15,131,40,4.99
5210,Moskow Reise,"The Hacker / 

Millimetric, 

David Carretta",GoodLife,France,Dec 2003,Electronic,3,VG+,VG,99.8,38,1101,907,24.99
5211,Crash,The Human League,Virgin,Japan,1986,"Electronic, Pop",10,NM or M-,VG+,99.8,366,15559,4378,18.99
